fold,epoch,train_loss,val_loss
1,1,0.6733802974388324,0.6125456916556067
1,2,0.6073399736377849,0.5833439226296483
1,3,0.5787876542398718,0.5670532330444881
1,4,0.5642664582829826,0.5550200156289704
1,5,0.5535909909321978,0.5462023596252714
1,6,0.546722253027808,0.5641506203826593
1,7,0.5422636724112045,0.5501840427821997
1,8,0.5420209571638573,0.5421002159434922
1,9,0.5349624730248952,0.5493519822310429
1,10,0.5309369357061187,0.5485644277261228
1,11,0.5271707758610072,0.5435803750583104
1,12,0.5323048297854538,0.541180605450455
1,13,0.521263365034352,0.5396514784681554
1,14,0.5211451134215521,0.5496062445275638
1,15,0.5188748088220222,0.5572317340179366
1,16,0.5169594961017331,0.5398197036738298
1,17,0.5142923866088128,0.5410305879310686
1,18,0.5135790837919338,0.5404841348589683
1,19,0.5106622525132034,0.5509381373804443
1,20,0.5101118582385524,0.5551250351326806
1,21,0.510844570314389,0.5470301368163556
1,22,0.5056473596848594,0.537952140460209
1,23,0.5048616676686284,0.5429575947231176
1,24,0.5043929408631626,0.5421034846987043
1,25,0.5040398091123425,0.5409043417049914
1,26,0.4995191527338755,0.556033911930055
1,27,0.4981916080306824,0.5440293093725127
1,28,0.4982687700572142,0.571906418113076
1,29,0.497178589267285,0.541432388747225
1,30,0.49649778065942773,0.540087567944916
1,31,0.49308114037402784,0.5552954199727701
1,32,0.49229016513809376,0.5433723437177892
1,33,0.4929846888391908,0.5425538066698581
1,34,0.49215606574878873,0.5477322787654643
1,35,0.49092909927902956,0.5400278880158249
1,36,0.48954394762035974,0.5501547541849467
1,37,0.49104781883908166,0.5412595478125981
1,38,0.4891857473092829,0.5405151597456056
1,39,0.488388287575832,0.5628237032464573
1,40,0.48753604197066613,0.5516478483166013
1,41,0.4863619480781232,0.545453746026876
1,42,0.4850017892844775,0.5564279174683046
1,43,0.4837552504595937,0.5513958605211609
1,44,0.48374677832448515,0.5459963283611804
1,45,0.4835250658798685,0.5656005889055681
1,46,0.4828550149462809,0.5454493722502066
1,47,0.4825775867664689,0.5939803085096028
1,48,0.4812339110962772,0.5451066259036259
1,49,0.48202710322475345,0.5541782529074318
1,50,0.48103136865566404,0.5458896504372966
2,1,0.6794925007025036,0.6337656196963728
2,2,0.6166844847062527,0.6041554966828375
2,3,0.5830566967206985,0.5569916451061875
